Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
org.codehaus.plexus.util.xml.Xpp3DomBuilder	org.codehaus.plexus.util.xml.Xpp3Dom build(java.io.Reader)	11	8	3
org.codehaus.plexus.util.xml.Xpp3DomBuilder	org.codehaus.plexus.util.xml.Xpp3Dom build(java.io.Reader,org.codehaus.plexus.util.xml.Xpp3DomBuilder$InputLocationBuilder)	6	3	3
org.codehaus.plexus.util.xml.Xpp3DomBuilder	org.codehaus.plexus.util.xml.Xpp3Dom build(java.io.Reader,boolean)	2	1	1
org.codehaus.plexus.util.xml.Xpp3DomWriter	void write(java.io.Writer,org.codehaus.plexus.util.xml.Xpp3Dom)	3	3	null
org.codehaus.plexus.util.xml.Xpp3Dom	java.lang.String getName()	3	1	1
org.codehaus.plexus.util.xml.Xpp3Dom	java.lang.String getValue()	29	13	9
org.codehaus.plexus.util.xml.Xpp3Dom	void setValue(java.lang.String)	7	5	2
org.codehaus.plexus.util.xml.Xpp3Dom	java.lang.String[] getAttributeNames()	3	3	null
org.codehaus.plexus.util.xml.Xpp3Dom	void setAttribute(java.lang.String,java.lang.String)	12	6	4
org.codehaus.plexus.util.xml.Xpp3Dom	org.codehaus.plexus.util.xml.Xpp3Dom getChild(int)	8	3	2
org.codehaus.plexus.util.xml.Xpp3Dom	org.codehaus.plexus.util.xml.Xpp3Dom getChild(java.lang.String)	26	9	4
org.codehaus.plexus.util.xml.Xpp3Dom	void addChild(org.codehaus.plexus.util.xml.Xpp3Dom)	4	2	2
org.codehaus.plexus.util.xml.Xpp3Dom	org.codehaus.plexus.util.xml.Xpp3Dom[] getChildren(java.lang.String)	16	3	3
org.codehaus.plexus.util.xml.Xpp3Dom	int getChildCount()	5	5	null
org.codehaus.plexus.util.xml.Xpp3Dom	java.lang.Object getInputLocation()	23	8	5
org.codehaus.plexus.util.xml.Xpp3Dom	void setInputLocation(java.lang.Object)	12	4	4
org.codehaus.plexus.util.xml.Xpp3Dom	org.codehaus.plexus.util.xml.Xpp3Dom mergeXpp3Dom(org.codehaus.plexus.util.xml.Xpp3Dom,org.codehaus.plexus.util.xml.Xpp3Dom)	8	8	null
org.codehaus.plexus.util.xml.Xpp3Dom	boolean equals(java.lang.Object)	4	2	2
org.codehaus.plexus.util.xml.Xpp3Dom	java.lang.String toString()	2	1	1
org.codehaus.plexus.util.xml.XmlWriterUtil	void writeCommentLineBreak(org.codehaus.plexus.util.xml.XMLWriter,int)	2	1	1
org.codehaus.plexus.util.xml.XmlWriterUtil	void writeComment(org.codehaus.plexus.util.xml.XMLWriter,java.lang.String)	6	4	1
org.codehaus.plexus.util.xml.XmlWriterUtil	void writeComment(org.codehaus.plexus.util.xml.XMLWriter,java.lang.String,int)	2	1	1
org.codehaus.plexus.util.xml.XmlWriterUtil	void writeComment(org.codehaus.plexus.util.xml.XMLWriter,java.lang.String,int,int)	2	1	1
org.codehaus.plexus.util.xml.XmlWriterUtil	void writeComment(org.codehaus.plexus.util.xml.XMLWriter,java.lang.String,int,int,int)	2	1	1
org.codehaus.plexus.util.xml.XmlWriterUtil	void writeCommentText(org.codehaus.plexus.util.xml.XMLWriter,java.lang.String,int)	2	1	1
org.codehaus.plexus.util.xml.PrettyPrintXMLWriter	void startElement(java.lang.String)	8	6	1
org.codehaus.plexus.util.xml.PrettyPrintXMLWriter	void addAttribute(java.lang.String,java.lang.String)	5	3	1
org.codehaus.plexus.util.xml.PrettyPrintXMLWriter	void endElement()	9	6	2
org.codehaus.plexus.util.xml.XmlStreamWriter	void close()	24	17	6
org.codehaus.plexus.util.xml.XmlStreamWriter	void flush()	3	1	1
org.codehaus.plexus.util.xml.XmlUtil	void prettyFormat(java.io.Reader,java.io.Writer)	3	3	null
org.codehaus.plexus.util.xml.pull.MXParser	void setInput(java.io.Reader)	17	15	2
org.codehaus.plexus.util.xml.pull.MXParser	void defineEntityReplacementText(java.lang.String,java.lang.String)	6	4	1
org.codehaus.plexus.util.xml.pull.MXParser	java.lang.String getText()	32	8	4
org.codehaus.plexus.util.xml.pull.MXParser	java.lang.String getName()	2	1	1
org.codehaus.plexus.util.xml.pull.MXParser	int next()	19	6	5
org.codehaus.plexus.util.xml.pull.MXParser	int nextToken()	67	9	9
