Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
org.apache.commons.io.IOUtils	void closeQuietly(java.io.Closeable[])	9	5	4
org.apache.commons.io.IOUtils	void closeQuietly(java.net.Socket)	3	2	1
org.apache.commons.io.IOUtils	void closeQuietly(java.nio.channels.Selector)	11	4	2
org.apache.commons.io.IOUtils	void closeQuietly(java.net.ServerSocket)	3	2	1
org.apache.commons.io.IOUtils	java.io.BufferedReader buffer(java.io.Reader)	4	3	1
org.apache.commons.io.IOUtils	java.io.BufferedReader buffer(java.io.Reader,int)	2	1	1
org.apache.commons.io.IOUtils	java.io.BufferedWriter buffer(java.io.Writer)	4	3	1
org.apache.commons.io.IOUtils	java.io.BufferedWriter buffer(java.io.Writer,int)	2	1	1
org.apache.commons.io.IOUtils	java.io.BufferedOutputStream buffer(java.io.OutputStream)	4	3	1
org.apache.commons.io.IOUtils	java.io.BufferedOutputStream buffer(java.io.OutputStream,int)	2	1	1
org.apache.commons.io.IOUtils	java.io.BufferedInputStream buffer(java.io.InputStream)	4	3	1
org.apache.commons.io.IOUtils	java.io.BufferedInputStream buffer(java.io.InputStream,int)	2	1	1
org.apache.commons.io.IOUtils	byte[] toByteArray(java.io.InputStream)	21	11	5
org.apache.commons.io.IOUtils	byte[] toByteArray(java.io.InputStream,long)	3	3	null
org.apache.commons.io.IOUtils	byte[] toByteArray(java.io.InputStream,int)	2	2	null
org.apache.commons.io.IOUtils	java.lang.String toString(java.io.Reader)	6	6	null
org.apache.commons.io.IOUtils	java.io.InputStream toInputStream(java.lang.CharSequence,java.lang.String)	2	1	1
org.apache.commons.io.IOUtils	java.io.InputStream toInputStream(java.lang.String,java.lang.String)	2	1	1
org.apache.commons.io.IOUtils	void write(byte[],java.io.OutputStream)	6	6	null
org.apache.commons.io.IOUtils	void write(byte[],java.io.Writer)	3	3	null
org.apache.commons.io.IOUtils	void write(byte[],java.io.Writer,java.lang.String)	4	4	null
org.apache.commons.io.IOUtils	void write(char[],java.io.Writer)	3	3	null
org.apache.commons.io.IOUtils	void write(char[],java.io.OutputStream)	5	5	null
org.apache.commons.io.IOUtils	void write(char[],java.io.OutputStream,java.lang.String)	2	2	null
org.apache.commons.io.IOUtils	void write(java.lang.CharSequence,java.io.Writer)	3	3	null
org.apache.commons.io.IOUtils	void write(java.lang.CharSequence,java.io.OutputStream)	5	5	null
org.apache.commons.io.IOUtils	void write(java.lang.CharSequence,java.io.OutputStream,java.lang.String)	2	2	null
org.apache.commons.io.IOUtils	void write(java.lang.String,java.io.Writer)	3	3	null
org.apache.commons.io.IOUtils	void write(java.lang.String,java.io.OutputStream)	5	5	null
org.apache.commons.io.IOUtils	void write(java.lang.String,java.io.OutputStream,java.lang.String)	2	2	null
org.apache.commons.io.IOUtils	void writeLines(java.util.Collection,java.lang.String,java.io.OutputStream)	4	4	null
org.apache.commons.io.IOUtils	void writeLines(java.util.Collection,java.lang.String,java.io.OutputStream,java.lang.String)	5	5	null
org.apache.commons.io.IOUtils	void writeLines(java.util.Collection,java.lang.String,java.io.Writer)	4	4	null
org.apache.commons.io.IOUtils	int copy(java.io.InputStream,java.io.OutputStream)	4	4	null
org.apache.commons.io.IOUtils	long copyLarge(java.io.InputStream,java.io.OutputStream)	5	3	2
org.apache.commons.io.IOUtils	long copyLarge(java.io.InputStream,java.io.OutputStream,long,long)	5	5	null
org.apache.commons.io.IOUtils	void copy(java.io.InputStream,java.io.Writer)	3	3	null
org.apache.commons.io.IOUtils	void copy(java.io.InputStream,java.io.Writer,java.lang.String)	4	4	null
org.apache.commons.io.IOUtils	int copy(java.io.Reader,java.io.Writer)	4	4	null
org.apache.commons.io.IOUtils	long copyLarge(java.io.Reader,java.io.Writer,long,long)	5	5	null
org.apache.commons.io.IOUtils	void copy(java.io.Reader,java.io.OutputStream)	3	3	null
org.apache.commons.io.IOUtils	void copy(java.io.Reader,java.io.OutputStream,java.lang.String)	4	4	null
org.apache.commons.io.IOUtils	boolean contentEquals(java.io.InputStream,java.io.InputStream)	9	3	1
org.apache.commons.io.IOUtils	boolean contentEquals(java.io.Reader,java.io.Reader)	7	1	1
org.apache.commons.io.IOUtils	boolean contentEqualsIgnoreEOL(java.io.Reader,java.io.Reader)	7	1	1
org.apache.commons.io.IOUtils	long skip(java.io.InputStream,long)	3	1	1
org.apache.commons.io.IOUtils	long skip(java.nio.channels.ReadableByteChannel,long)	3	1	1
org.apache.commons.io.IOUtils	long skip(java.io.Reader,long)	3	1	1
org.apache.commons.io.IOUtils	void skipFully(java.io.InputStream,long)	4	1	1
org.apache.commons.io.IOUtils	void skipFully(java.nio.channels.ReadableByteChannel,long)	4	1	1
org.apache.commons.io.IOUtils	void skipFully(java.io.Reader,long)	4	1	1
org.apache.commons.io.IOUtils	int read(java.nio.channels.ReadableByteChannel,java.nio.ByteBuffer)	2	1	1
org.apache.commons.io.IOUtils	void readFully(java.io.Reader,char[],int,int)	5	2	1
org.apache.commons.io.IOUtils	void readFully(java.io.InputStream,byte[],int,int)	5	2	1
org.apache.commons.io.IOUtils	void readFully(java.nio.channels.ReadableByteChannel,java.nio.ByteBuffer)	5	2	1
org.apache.commons.io.FileDeleteStrategy	boolean deleteQuietly(java.io.File)	5	2	1
org.apache.commons.io.FileDeleteStrategy	void delete(java.io.File)	7	3	2
org.apache.commons.io.FileDeleteStrategy	java.lang.String toString()	2	1	1
org.apache.commons.io.serialization.RegexpClassNameMatcher	boolean matches(java.lang.String)	7	3	3
org.apache.commons.io.serialization.FullClassNameMatcher	boolean matches(java.lang.String)	3	2	1
org.apache.commons.io.serialization.ValidatingObjectInputStream	org.apache.commons.io.serialization.ValidatingObjectInputStream accept(java.lang.Class[])	11	11	null
org.apache.commons.io.serialization.ValidatingObjectInputStream	org.apache.commons.io.serialization.ValidatingObjectInputStream reject(java.lang.Class[])	4	4	null
