Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.ICommonsMap getFilteredMap(com.helger.commons.collection.impl.ICommonsMap,java.util.Collection)	3	1	1
com.helger.commons.collection.CollectionHelper	java.lang.Object getFirstElement(java.util.List)	3	1	1
com.helger.commons.collection.CollectionHelper	java.lang.Object getFirstElement(java.util.Collection)	3	1	1
com.helger.commons.collection.CollectionHelper	java.lang.Object getFirstElement(java.lang.Iterable)	3	1	1
com.helger.commons.collection.CollectionHelper	java.lang.Object removeFirstElement(java.util.List)	3	1	1
com.helger.commons.collection.CollectionHelper	java.lang.Object getLastElement(java.util.List)	3	1	1
com.helger.commons.collection.CollectionHelper	java.lang.Object getLastElement(java.util.Collection)	3	1	1
com.helger.commons.collection.CollectionHelper	java.lang.Object getLastElement(java.lang.Iterable)	3	1	1
com.helger.commons.collection.CollectionHelper	java.lang.Object removeLastElement(java.util.List)	3	1	1
com.helger.commons.collection.CollectionHelper	boolean isEmpty(java.lang.Iterable)	4	2	1
com.helger.commons.collection.CollectionHelper	boolean isEmpty(java.util.Collection)	12	3	3
com.helger.commons.collection.CollectionHelper	boolean isEmpty(java.util.Map)	9	3	3
com.helger.commons.collection.CollectionHelper	int getSize(java.util.Collection)	5	2	2
com.helger.commons.collection.CollectionHelper	int getSize(java.util.Map)	5	2	2
com.helger.commons.collection.CollectionHelper	int getSize(java.lang.Iterable)	3	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList getConcatenatedList(java.util.Collection,java.util.Collection)	4	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList getConcatenatedList(java.util.Collection,java.lang.Object[])	4	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList getConcatenatedList(java.lang.Object[],java.util.Collection)	4	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.ICommonsSet getConcatenatedSet(java.util.Collection,java.util.Collection)	4	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.ICommonsSet getConcatenatedSet(java.util.Collection,java.lang.Object[])	4	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.ICommonsSet getConcatenatedSet(java.lang.Object[],java.util.Collection)	4	1	1
com.helger.commons.collection.CollectionHelper	java.util.Collection getConcatenatedInline(java.util.Collection,java.lang.Object[])	5	1	1
com.helger.commons.collection.CollectionHelper	java.util.Collection getConcatenatedInline(java.util.Collection,java.util.Collection)	3	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.ICommonsMap getCombinedMap(java.util.Map,java.util.Map)	5	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList newObjectListFromArray(java.lang.Object,java.lang.Class)	18	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList getSubList(java.util.List,int,int)	8	1	1
com.helger.commons.collection.CollectionHelper	boolean containsOnly(java.lang.Iterable,java.util.function.Predicate)	9	1	1
com.helger.commons.collection.CollectionHelper	boolean containsAnyNullElement(java.lang.Iterable)	8	1	1
com.helger.commons.collection.CollectionHelper	java.lang.Object getAtIndex(java.util.List,int)	6	1	1
com.helger.commons.collection.CollectionHelper	java.lang.Object getAtIndex(java.util.List,int,java.lang.Object)	3	1	1
com.helger.commons.collection.StackHelper	com.helger.commons.collection.NonBlockingStack newStack()	2	2	null
com.helger.commons.collection.StackHelper	com.helger.commons.collection.NonBlockingStack newStack(java.lang.Object)	6	3	1
com.helger.commons.collection.StackHelper	com.helger.commons.collection.NonBlockingStack newStack(java.lang.Object[])	4	3	1
com.helger.commons.collection.StackHelper	com.helger.commons.collection.NonBlockingStack getStackCopyWithoutTop(com.helger.commons.collection.NonBlockingStack)	2	1	1
com.helger.commons.collection.ArrayHelper	java.lang.Class getComponentType(java.lang.Object[])	2	1	1
com.helger.commons.collection.ArrayHelper	boolean isArray(java.lang.Object)	10	3	1
com.helger.commons.collection.ArrayHelper	int getSize(boolean[])	2	1	1
com.helger.commons.collection.ArrayHelper	int getSize(byte[])	2	1	1
com.helger.commons.collection.ArrayHelper	int getSize(char[])	2	1	1
com.helger.commons.collection.ArrayHelper	int getSize(double[])	2	1	1
com.helger.commons.collection.ArrayHelper	int getSize(float[])	2	1	1
com.helger.commons.collection.ArrayHelper	int getSize(int[])	2	1	1
com.helger.commons.collection.ArrayHelper	int getSize(long[])	2	1	1
com.helger.commons.collection.ArrayHelper	int getSize(short[])	2	1	1
