Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
com.google.gson.internal.bind.JsonTreeReader	void skipValue()	47	31	11
com.google.gson.internal.bind.JsonTreeReader	java.lang.String getPath()	70	12	7
com.google.gson.internal.LinkedTreeMap$KeySet	int size()	9	9	null
com.google.gson.internal.LinkedTreeMap$KeySet	java.util.Iterator iterator()	7	6	1
com.google.gson.internal.LinkedTreeMap$KeySet	boolean contains(java.lang.Object)	10	5	5
com.google.gson.internal.Streams	com.google.gson.JsonElement parse(com.google.gson.stream.JsonReader)	2	1	1
com.google.gson.internal.LinkedHashTreeMap$KeySet$1	java.lang.Object next()	15	10	3
com.google.gson.JsonNull	com.google.gson.JsonNull deepCopy()	2	1	1
com.google.gson.Gson	com.google.gson.TypeAdapter getAdapter(com.google.gson.reflect.TypeToken)	4	4	null
com.google.gson.Gson	com.google.gson.TypeAdapter getAdapter(java.lang.Class)	6	6	null
com.google.gson.Gson	com.google.gson.JsonElement toJsonTree(java.lang.Object)	13	13	null
com.google.gson.Gson	com.google.gson.JsonElement toJsonTree(java.lang.Object,java.lang.reflect.Type)	9	9	null
com.google.gson.Gson	java.lang.String toJson(java.lang.Object)	343	286	44
com.google.gson.Gson	java.lang.String toJson(java.lang.Object,java.lang.reflect.Type)	109	84	21
com.google.gson.Gson	void toJson(java.lang.Object,java.lang.reflect.Type,com.google.gson.stream.JsonWriter)	11	6	4
com.google.gson.Gson	java.lang.String toJson(com.google.gson.JsonElement)	9	9	null
com.google.gson.Gson	void toJson(com.google.gson.JsonElement,java.lang.Appendable)	2	2	null
com.google.gson.Gson	void toJson(com.google.gson.JsonElement,com.google.gson.stream.JsonWriter)	2	1	1
com.google.gson.Gson	java.lang.Object fromJson(java.lang.String,java.lang.Class)	342	270	47
com.google.gson.Gson	java.lang.Object fromJson(java.lang.String,java.lang.reflect.Type)	79	74	4
com.google.gson.Gson	java.lang.Object fromJson(java.io.Reader,java.lang.Class)	4	4	null
com.google.gson.Gson	java.lang.Object fromJson(java.io.Reader,java.lang.reflect.Type)	2	2	null
com.google.gson.Gson	java.lang.Object fromJson(com.google.gson.stream.JsonReader,java.lang.reflect.Type)	9	5	3
com.google.gson.Gson	java.lang.Object fromJson(com.google.gson.JsonElement,java.lang.Class)	14	11	3
com.google.gson.JsonArray	void add(java.lang.Boolean)	13	4	3
com.google.gson.JsonArray	void add(java.lang.Character)	13	5	3
com.google.gson.JsonArray	void add(java.lang.Number)	24	5	5
com.google.gson.JsonArray	void add(java.lang.String)	9	5	1
com.google.gson.JsonArray	void add(com.google.gson.JsonElement)	22	11	5
com.google.gson.JsonArray	com.google.gson.JsonElement set(int,com.google.gson.JsonElement)	4	1	1
