Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$AsMap$AsMapEntrySetIterator	java.lang.Object next()	28	21	4
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$KeysMultiSet	boolean isEmpty()	5	3	2
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$KeysMultiSet	int getCount(java.lang.Object)	2	1	1
org.apache.commons.collections4.multimap.AbstractListValuedMap$ValuesListIterator	void add(java.lang.Object)	2	1	1
org.apache.commons.collections4.multimap.AbstractListValuedMap$ValuesListIterator	boolean hasNext()	38	17	10
org.apache.commons.collections4.multimap.AbstractListValuedMap$ValuesListIterator	boolean hasPrevious()	9	1	1
org.apache.commons.collections4.multimap.AbstractListValuedMap$ValuesListIterator	java.lang.Object next()	35	25	5
org.apache.commons.collections4.multimap.AbstractListValuedMap$ValuesListIterator	java.lang.Object previous()	5	2	1
org.apache.commons.collections4.multimap.AbstractListValuedMap$ValuesListIterator	void remove()	5	3	2
org.apache.commons.collections4.multimap.AbstractListValuedMap$ValuesListIterator	void set(java.lang.Object)	2	1	1
org.apache.commons.collections4.multimap.AbstractSetValuedMap$WrappedSet	boolean equals(java.lang.Object)	28	2	2
org.apache.commons.collections4.SplitMapUtils$WrappedPut	java.lang.Object get(java.lang.Object)	63	8	7
org.apache.commons.collections4.SplitMapUtils$WrappedPut	int size()	3	1	1
org.apache.commons.collections4.SetUtils$2	boolean contains(java.lang.Object)	46	13	11
org.apache.commons.collections4.FactoryUtils	org.apache.commons.collections4.Factory exceptionFactory()	5	1	1
org.apache.commons.collections4.FactoryUtils	org.apache.commons.collections4.Factory nullFactory()	5	2	1
org.apache.commons.collections4.FactoryUtils	org.apache.commons.collections4.Factory constantFactory(java.lang.Object)	2	2	null
org.apache.commons.collections4.FactoryUtils	org.apache.commons.collections4.Factory prototypeFactory(java.lang.Object)	6	6	null
